   ,TRAN_TYPE,TRAN_CODE,TRAN_NBR,SEQ_NBR,WHSE,SKU_ID,CNTR_NBR,WAVE_NBR,PKT_CTRL_NBR,PKT_SEQ_NBR,WORK_TYPE,NBR_OF_CASES,NBR_UNITS,NBR_OF_PIKS,NBR_SCAN,FROM_LOCN,TO_LOCN,WKSTN_ID,RSN_CODE,REF_CODE_ID_1,REF_FIELD_1,REF_CODE_ID_2,REF_FIELD_2,REF_CODE_ID_3,REF_FIELD_3,REF_CODE_ID_4,REF_FIELD_4,REF_CODE_ID_5,REF_FIELD_5,OLD_STAT_CODE,NEW_STAT_CODE,SAM,BEGIN_DATE,END_DATE,STAT_CODE,MODULE_NAME,MENU_OPTN_NAME,CREATE_DATE_TIME,MOD_DATE_TIME,USER_ID,PLT_ID,TASK_ID,CD_MASTER_ID
1,500,008,6465715,2,SD4,001667440,00099999990001773814,201308140045,PK14703577,10,,0,100.00,0,0,005233352,,PCKREC01,,83,,,,,,,,,,0,20,0.0000,8/14/2013 6:05:34 PM,8/14/2013 6:07:20 PM,0,Packing,Pack Non Cube2,8/14/2013 6:07:20 PM,8/14/2013 6:07:20 PM,CCHESER,,,12138
2,100,002,6466415,1,SD4,001667442,C000053115,,,0,,1,200.00,0,0,,,ALPH_WMS,,08,000006309,12,,43,,37,,03,,0,10,0.0000,8/14/2013 6:32:29 PM,8/14/2013 6:33:34 PM,0,Receiving,Receiving,8/14/2013 6:33:34 PM,8/14/2013 6:33:34 PM,RFORBIS,,,12138
3,300,005,6466515,1,SD4,001667442,C000053115,,,0,,1,200.00,0,0,,005233381,ALPH_WMS,,24,,39,50,,,,,,,10,96,0.0000,8/14/2013 6:33:55 PM,8/14/2013 6:34:22 PM,0,Replenish,Fill Active SysDi,8/14/2013 6:34:22 PM,8/14/2013 6:34:22 PM,RFORBIS,,,12138
4,600,011,6501899,1,YYZ,1599692,00199999990001777116,,,0,,1,0.00,0,0,,,ALPH_WMS,,25,0,76,,,,,,,,20,20,0.0000,8/19/2013 4:05:32 AM,8/19/2013 4:05:32 AM,0,Modify,UnlockCarton,8/19/2013 4:05:32 AM,8/19/2013 4:05:32 AM,MGURURAJ,,,12114
5,700,008,6510202,2,MIA,001672043,C0000053189,,,0,,1,1.00,0,0,005265739,005265739,SAMMIAADM2,,,,,,,,,,,,0,30,0.0000,8/19/2013 4:00:50 PM,8/19/2013 4:01:27 PM,0,Misc,Cycle Cnt Reserve,8/19/2013 4:01:27 PM,8/19/2013 4:01:27 PM,EVALDES,,,12160
6,700,008,6610664,1,MIA,001667520,C000053464,,,0,,1,1.00,0,0,005265740,005265740,SAMMIAADM2,,,,,,,,,,,,30,30,0.0000,8/30/2013 3:06:38 PM,8/30/2013 3:08:47 PM,0,Misc,Cycle Cnt Reserve,8/30/2013 3:08:47 PM,8/30/2013 3:08:47 PM,EVALDES,,,12160
7,700,009,6610664,3,MIA,001671616,C000053414,,,0,,1,2.00,0,0,005265740,,SAMMIAADM2,,,,,,,,,,,,30,30,0.0000,8/30/2013 3:08:56 PM,8/30/2013 3:08:57 PM,0,Misc,Cycle Cnt Reserve,8/30/2013 3:08:57 PM,8/30/2013 3:08:57 PM,EVALDES,,,12160
8,800,001,6776768,1,YYZ,000766203,C000040099,201309190038,CV0073463,1,,0,0.00,0,0,,,,,41,,42,,40,UU95,09,,,,20,30,0.0000,9/20/2013 9:58:39 AM,9/20/2013 9:58:39 AM,0,Shipping,UPS Manifest CS,9/20/2013 9:58:39 AM,9/20/2013 9:58:39 AM,JMOORMAN,,,12094
9,300,004,6855095,1,CV4,000417363,00100871210000021768,,,0,,1,6.00,0,0,000425860,000423330,FUR,,24,428994,39,40,,,,,,,50,30,0.0000,10/2/2013 11:34:59 AM,10/2/2013 11:35:56 AM,0,Replenish,Pull Case Partial,10/2/2013 11:35:56 AM,10/2/2013 11:35:56 AM,GFABER,PKN0000170,428994,12067
10,300,004,6855095,2,CV4,000417363,00100871210000021773,,,0,,1,6.00,0,0,000425860,000423330,FUR,,24,428994,39,40,,,,,,,50,30,0.0000,10/2/2013 11:35:56 AM,10/2/2013 11:36:05 AM,0,Replenish,Pull Case Partial,10/2/2013 11:36:05 AM,10/2/2013 11:36:05 AM,GFABER,PKN0000170,428994,12067
11,300,004,6855095,3,CV4,000417363,00100871210000021774,,,0,,1,6.00,0,0,000425860,000423330,FUR,,24,428994,39,40,,,,,,,50,30,0.0000,10/2/2013 11:36:05 AM,10/2/2013 11:36:08 AM,0,Replenish,Pull Case Partial,10/2/2013 11:36:08 AM,10/2/2013 11:36:08 AM,GFABER,PKN0000170,428994,12067
12,300,004,6855095,4,CV4,000417363,00100871210000021775,,,0,,1,6.00,0,0,000425860,000423330,FUR,,24,428994,39,40,,,,,,,50,30,0.0000,10/2/2013 11:36:08 AM,10/2/2013 11:36:10 AM,0,Replenish,Pull Case Partial,10/2/2013 11:36:10 AM,10/2/2013 11:36:10 AM,GFABER,PKN0000170,428994,12067
13,500,001,6897151,2,YYZ,001678182,00006267830001818794,201310070029,HDMTMS1007,10,,0,2.00,0,0,005283359,,ALPH_WMS,,83,,,,,,,,,,10,20,0.0000,10/7/2013 3:38:19 PM,10/7/2013 3:40:09 PM,0,Packing,Pack Cubed Directed,10/7/2013 3:40:09 PM,10/7/2013 3:40:09 PM,DMUNIGETI1,,,12161
14,300,004,6855095,5,CV4,000417363,00100871210000021777,,,0,,1,6.00,0,0,000425860,000423330,FUR,,24,428994,39,40,,,,,,,50,30,0.0000,10/2/2013 11:36:10 AM,10/2/2013 11:36:14 AM,0,Replenish,Pull Case Partial,10/2/2013 11:36:14 AM,10/2/2013 11:36:14 AM,GFABER,PKN0000170,428994,12067
15,500,001,6897151,1,YYZ,001679387,00006267830001818787,201310070028,HDDMTMS002,10,,0,2.00,0,0,005283364,,ALPH_WMS,,83,,,,,,,,,,10,20,0.0000,10/7/2013 3:38:13 PM,10/7/2013 3:38:19 PM,0,Packing,Pack Cubed Directed,10/7/2013 3:38:19 PM,10/7/2013 3:38:19 PM,DMUNIGETI1,,,12161
16,300,005,7044336,1,SD4,001693079,C000054748,,,0,,1,158.00,0,0,,005233500,ALPH_WMS,,24,,39,50,,,,,,,10,96,0.0000,10/25/2013 3:39:28 PM,10/25/2013 3:39:37 PM,0,Replenish,Fill Active SysDi,10/25/2013 3:39:37 PM,10/25/2013 3:39:37 PM,CCHESER,,,12138
